Guests,Price avg,Ranking position avg,Number of views,Price difference,Hotel name,Location,Distance,Type,Quality,Rating,Special,Review,Description,Bedrooms,Living Rooms,Bathrooms,Kitchens,Surface Area (m2),Total Beds,Individual Beds,Double Beds,Double Large Beds,Double Extralarge Beds,Sofa Beds,Bunk Beds
0.3333333333333333,0.03130789181178214,0.36523929471032746,0.07517084282460136,0.15268898081985707,'La Casilla' del Realejo - Casa en el centro,"Centro de Granada, Granada",0.007253711201079622,apartamento,0.6000000000000001,0.8800000000000001,,0.015197568389057751,Casa de 2 dormitorios,0.18181818181818182,1.0,0.25,0.0,0.10625,0.10526315789473684,0.0,0.18181818181818182,0.0,0.0,0.0,0.0
0.3333333333333333,0.08632826972952945,0.6171284634760705,0.002277904328018223,0.14422715306506204,1 Dream San Diego deluxe,"Barrio de Ronda, Granada",0.009784075573549258,apartamento,0.6000000000000001,1.0,,0.0010131712259371835,Apartamento de 2 dormitorios,0.18181818181818182,1.0,0.25,0.0,0.08750000000000001,0.10526315789473684,0.0,0.18181818181818182,0.0,0.0,0.0,0.0
1.0,0.10392738051130049,0.3375314861460957,0.1662870159453303,0.1382098533283189,1D Apartamento con vistas a la Alhambra,"Albaicín, Granada",0.0038798920377867744,apartamento,0.6000000000000001,0.77,,0.0861195542046606,Apartamento de 3 dormitorios,0.2727272727272727,1.0,0.25,0.25,0.08750000000000001,0.3684210526315789,0.1111111111111111,0.09090909090909091,0.0,0.0,0.0,0.25
1.0,0.10096331974805484,0.2468513853904282,0.20045558086560364,0.14328694998119593,"2D Apartamento en Albaycín, con Parking","Albaicín, Granada",0.0038798920377867744,apartamento,0.6000000000000001,0.82,,0.04761904761904762,Apartamento de 2 dormitorios,0.18181818181818182,1.0,0.25,0.25,0.08750000000000001,0.3157894736842105,0.2222222222222222,0.0,0.0,0.0,0.3333333333333333,0.0
1.0,0.14264542423119675,0.7103274559193954,0.21867881548974943,0.18616021060549076,3 bedroom Elegant & Cozy City Centre,"Centro de Granada, Granada",0.009784075573549258,apartamento,0.8,0.96,,0.010131712259371834,2×,0.2727272727272727,0.0,0.25,0.5,0.0,0.631578947368421,0.4444444444444444,0.18181818181818182,0.0,0.0,0.3333333333333333,0.0
0.6666666666666667,0.0924416450537236,0.818639798488665,0.14578587699316628,0.18108311395261376,3 bedroom Elegant & Cozy City Centre,"Centro de Granada, Granada",0.009784075573549258,apartamento,0.8,0.96,,0.010131712259371834,Apartamento de 3 dormitorios,0.2727272727272727,1.0,0.125,0.25,0.09375,0.3157894736842105,0.2222222222222222,0.09090909090909091,0.0,0.0,0.16666666666666666,0.0
0.3333333333333333,0.02334197851055947,0.2871536523929471,0.12756264236902048,0.1406543813463708,31EnjoyGranadaCentro. Parking opcional.,"Centro de Granada, Granada",0.001349527665317139,,0.0,0.86,,0.015197568389057751,Apartamento de 1 dormitorio,0.09090909090909091,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.09090909090909091,0.0,0.0,0.16666666666666666,0.0
0.3333333333333333,0.022230455724342346,0.37531486146095716,0.1480637813211845,0.1406543813463708,33EnjoyGranadaCentro. Parking opcional.,"Centro de Granada, Granada",0.001349527665317139,apartamento,0.6000000000000001,0.79,,0.010131712259371834,Apartamento de 1 dormitorio,0.09090909090909091,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.09090909090909091,0.0,0.0,0.16666666666666666,0.0
0.3333333333333333,0.045387180437198964,0.7153652392947103,0.0683371298405467,0.14817600601729972,"4 balconies house, central and near the Alhambra","Centro de Granada, Granada",0.00641025641025641,apartamento,0.6000000000000001,0.9300000000000002,,0.07801418439716312,Apartamento de 2 dormitorios,0.18181818181818182,1.0,0.125,0.25,0.085,0.21052631578947367,0.1111111111111111,0.09090909090909091,0.0,0.0,0.16666666666666666,0.0
1.0,0.050018525379770286,0.3879093198992443,0.8633257403189065,0.09458443023693117,4U Hostel,"Centro de Granada, Granada",0.005566801619433198,,0.0,0.81,preferente,0.08409321175278622,Habitación Familiar con baño (8 adultos),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.6666666666666667,0.06909966654316413,0.48110831234256923,0.15945330296127563,0.15005641218503196,4U Suites,"Centro de Granada, Granada",0.004723346828609987,apartamento,0.6000000000000001,0.82,plus,0.32016210739615,2×,0.18181818181818182,0.0,0.5,0.0,0.0,0.21052631578947367,0.0,0.18181818181818182,0.0,0.0,0.3333333333333333,0.0
1.0,0.11819192293442016,0.7355163727959697,0.18678815489749429,0.1506205340353516,4U Suites,"Centro de Granada, Granada",0.004723346828609987,apartamento,0.6000000000000001,0.82,plus,0.32016210739615,1×,0.09090909090909091,0.0,0.25,0.0,0.035,0.05263157894736842,0.0,0.09090909090909091,0.0,0.0,0.0,0.0
1.0,0.11096702482400889,0.42317380352644834,0.10933940774487472,0.1316284317412561,4U Suites,"Centro de Granada, Granada",0.004723346828609987,apartamento,0.6000000000000001,0.82,plus,0.32016210739615,Suite Estándar,0.09090909090909091,1.0,0.25,0.0,0.0425,0.10526315789473684,0.0,0.09090909090909091,0.0,0.0,0.16666666666666666,0.0
1.0,0.11856243052982587,0.614609571788413,0.12984054669703873,0.1609627679578789,4U Suites,"Centro de Granada, Granada",0.004723346828609987,apartamento,0.6000000000000001,0.82,plus,0.32016210739615,1×,0.09090909090909091,1.0,0.25,0.0,0.05,0.10526315789473684,0.0,0.09090909090909091,0.0,0.0,0.16666666666666666,0.0
